timestamp_sec;timestamp_nanosec;range;azimuth_deg;elevation_deg;x;y;z;intensity
  1637938174;   567339658;   1.306; -95.000;   0.000;  -0.114;  -1.301;   0.000;     254
  1637938174;   567339658;   1.305; -94.833;   0.000;  -0.110;  -1.300;   0.000;     254
  1637938174;   567339658;   1.306; -94.667;   0.000;  -0.106;  -1.302;   0.000;     254
  1637938174;   567339658;   1.301; -94.500;   0.000;  -0.102;  -1.297;   0.000;     254
  1637938174;   567339658;   1.304; -94.333;   0.000;  -0.099;  -1.300;   0.000;     254
  1637938174;   567339658;   1.313; -94.167;   0.000;  -0.095;  -1.310;   0.000;     254
  1637938174;   567339658;   1.309; -94.000;   0.000;  -0.091;  -1.306;   0.000;     254
  1637938174;   567339658;   1.304; -93.833;   0.000;  -0.087;  -1.301;   0.000;     254
  1637938174;   567339658;   1.307; -93.666;   0.000;  -0.084;  -1.304;   0.000;     254
  1637938174;   567339658;   1.310; -93.500;   0.000;  -0.080;  -1.308;   0.000;     254
  1637938174;   567339658;   1.313; -93.333;   0.000;  -0.076;  -1.311;   0.000;     254
  1637938174;   567339658;   1.310; -93.166;   0.000;  -0.072;  -1.308;   0.000;     254
  1637938174;   567339658;   1.309; -93.000;   0.000;  -0.068;  -1.307;   0.000;     254
  1637938174;   567339658;   1.314; -92.833;   0.000;  -0.065;  -1.312;   0.000;     254
  1637938174;   567339658;   1.313; -92.666;   0.000;  -0.061;  -1.312;   0.000;     254
  1637938174;   567339658;   1.315; -92.500;   0.000;  -0.057;  -1.314;   0.000;     254
  1637938174;   567339658;   1.319; -92.333;   0.000;  -0.054;  -1.318;   0.000;     254
  1637938174;   567339658;   1.322; -92.166;   0.000;  -0.050;  -1.321;   0.000;     254
  1637938174;   567339658;   1.318; -91.999;   0.000;  -0.046;  -1.317;   0.000;     254
  1637938174;   567339658;   1.318; -91.833;   0.000;  -0.042;  -1.317;   0.000;     254
  1637938174;   567339658;   1.315; -91.666;   0.000;  -0.038;  -1.314;   0.000;     254
  1637938174;   567339658;   1.320; -91.499;   0.000;  -0.035;  -1.320;   0.000;     254
  1637938174;   567339658;   1.327; -91.333;   0.000;  -0.031;  -1.327;   0.000;     254
  1637938174;   567339658;   1.319; -91.166;   0.000;  -0.027;  -1.319;   0.000;     254
  1637938174;   567339658;   1.327; -90.999;   0.000;  -0.023;  -1.327;   0.000;     254
  1637938174;   567339658;   1.322; -90.833;   0.000;  -0.019;  -1.322;   0.000;     254
  1637938174;   567339658;   1.330; -90.666;   0.000;  -0.015;  -1.330;   0.000;     254
  1637938174;   567339658;   1.326; -90.499;   0.000;  -0.012;  -1.326;   0.000;     254
  1637938174;   567339658;   1.322; -90.332;   0.000;  -0.008;  -1.322;   0.000;     254
  1637938174;   567339658;   1.325; -90.166;   0.000;  -0.004;  -1.325;   0.000;     254
  1637938174;   567339658;   1.326; -89.999;   0.000;   0.000;  -1.326;   0.000;     254
  1637938174;   567339658;   1.326; -89.832;   0.000;   0.004;  -1.326;   0.000;     254
  1637938174;   567339658;   1.331; -89.666;   0.000;   0.008;  -1.331;   0.000;     254
  1637938174;   567339658;   1.322; -89.499;   0.000;   0.012;  -1.322;   0.000;     254
  1637938174;   567339658;   1.329; -89.332;   0.000;   0.015;  -1.329;   0.000;     254
  1637938174;   567339658;   1.336; -89.166;   0.000;   0.019;  -1.336;   0.000;     254
  1637938174;   567339658;   1.333; -88.999;   0.000;   0.023;  -1.333;   0.000;     254
  1637938174;   567339658;   1.334; -88.832;   0.000;   0.027;  -1.334;   0.000;     254
  1637938174;   567339658;   1.335; -88.666;   0.000;   0.031;  -1.335;   0.000;     254
  1637938174;   567339658;   1.336; -88.499;   0.000;   0.035;  -1.336;   0.000;     254
  1637938174;   567339658;   1.338; -88.332;   0.000;   0.039;  -1.337;   0.000;     254
  1637938174;   567339658;   1.335; -88.165;   0.000;   0.043;  -1.334;   0.000;     254
  1637938174;   567339658;   1.342; -87.999;   0.000;   0.047;  -1.341;   0.000;     254
  1637938174;   567339658;   1.340; -87.832;   0.000;   0.051;  -1.339;   0.000;     254
  1637938174;   567339658;   1.350; -87.665;   0.000;   0.055;  -1.349;   0.000;     254
  1637938174;   567339658;   1.346; -87.499;   0.000;   0.059;  -1.345;   0.000;     254
  1637938174;   567339658;   1.351; -87.332;   0.000;   0.063;  -1.350;   0.000;     254
  1637938174;   567339658;   1.346; -87.165;   0.000;   0.067;  -1.344;   0.000;     254
  1637938174;   567339658;   1.346; -86.999;   0.000;   0.070;  -1.344;   0.000;     254
  1637938174;   567339658;   1.350; -86.832;   0.000;   0.075;  -1.348;   0.000;     254
  1637938174;   567339658;   1.354; -86.665;   0.000;   0.079;  -1.352;   0.000;     254
